Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Reds,3.0,972.2832297,173478.3923,30-45,105371.2809,No,800.2020033,No,Female,After_16:00,0.561677214,0.200426292,9450.0,518.4621969,7.850261941,6389.636042,127.37341640000001,3.715773439,22.76976497,2.55,63459.2954,Yes,286515.2199,4.30991312,535.2711648,87.66821059,324.0944099,40.0,Foreign_Affairs,8.0,72.10450731,2.0,Public_or_other,Industry_or_other,Yes,0.0,560.1178192000001
Whites,5.0,167.337827,25885.15188,30-45,3177.106868,Yes,700.6450827000001,Yes,Male,After_16:00,0.420523975,0.9286979259999999,9574.0,462.3876637,30.33754958,5565.414987,883.7369559,28.92693637,21.50320124,0.426,55832.2308,Yes,215355.3645,2.5267914190000003,464.06396589999997,96.36317617,55.77927565,70.0,Social,7.0,,1.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,
Khakis,10.0,436.99844900000005,43044.929189999995,Below_30,21374.29331,Yes,545.0735434999999,Yes,Male,By_16:00,0.500647889,0.07731051,9365.0,357.5949864,23.70496334,3670.229925,50.70448667,32.69542661,18.91018208,0.635,42540.79902,No,87322.61116,3.835379581,295.5039952,79.87250341,145.6661497,70.0,Social,,273.4632044,2.0,Motorcycle_or_truck,Public_Sector,Yes,,387.3753124
Whites,7.0,305.68082830000003,29781.45512,30-45,10494.20126,Yes,590.7540723999999,Yes,Female,By_16:00,0.917539318,0.022183935,3232.0,314.81041039999997,47.06240173,3552.4199329999997,562.3598092,45.21651387,17.74289746,6.768,42950.64007,Yes,85427.54651,1.185366018,292.27991119999996,96.09818596,101.8936094,70.0,Social,7.0,283.94196170000004,3.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,556.3934239
Whites,1.0,128.0672702,19997.692180000002,30-45,1875.0475,Yes,687.0171498999999,Yes,Female,After_16:00,0.7628245659999999,0.381707015,6652.0,435.2262458000001,53.42048148,5554.9496659999995,412.31168460000004,67.30358787,20.86207674,3.3480000000000003,54211.29848,No,219445.1378,2.5979378730000002,468.44971749999996,4.727908806,42.68909006,70.0,Social,7.0,72.11408207,3.0,Public_or_other,Hightech,No,0.0,496.93711389999993
Turquoises,6.0,171.3677524,25492.4959,30-45,3330.112202,No,615.6720077,Yes,Female,By_16:00,0.665018814,0.725180018,3213.0,389.5614416,17.56611674,5241.892957999999,546.6273464,36.32257627,19.7373109,6.787000000000001,48891.818889999995,Yes,199163.1674,1.142198623,446.2770075,16.57868302,57.12258413,90.0,Environment,13.0,136.3020313,1.0,,Student_or_Unemployed,No,1.0,440.8780191000001
Browns,4.0,145.4022334,6775.215679000001,45_and_up,2407.557352,No,268.2504967,Yes,Male,After_16:00,0.23742932600000002,0.625050067,9688.0,250.61852400000004,17.46412711,1899.128027,10.92257048,38.22024348,15.83093567,6.312,23746.78269,Maybe,19540.9919,0.077313681,139.7890979,67.16301858,48.46741112,100.0,Education,13.0,622.7450277,3.0,Motorcycle_or_truck,Hightech,,0.0,57.42983047
Turquoises,1.0,806.5522222999999,99651.09915,45_and_up,72559.57154,Yes,587.9257285,Yes,Female,By_16:00,0.6731296609999999,0.93966171,4045.0,363.9293478,19.49155829,4434.417170000001,10.14002622,52.85053907,19.07693235,5.955,45688.38885,No,137385.7572,2.052102631,370.65584739999997,18.82839506,268.85074080000004,60.0,Financial,10.0,195.17076,2.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,446.64746160000004
Turquoises,4.0,214.5061389,33086.36922,30-45,5194.04467,No,793.6142322000001,Yes,Male,By_16:00,0.684814542,0.873311275,5038.0,542.2091376,7.001336198,5711.750071,215.21198470000002,26.84828101,23.28538463,4.962,63173.418820000006,Maybe,214121.9955,9.422999532,462.7331796,10.30518848,71.50204629,100.0,Education,15.0,59.33227176,3.0,Foot_or_bicycle,Public_Sector,Yes,0.0,518.7053808000001
Purples,6.0,764.3232812000001,114044.1669,Below_30,65174.783110000004,Yes,90.59783127,Yes,Female,By_16:00,0.681951938,0.119988389,9168.0,21.68813093,91.94765389,4519.656247999999,754.6982479,55.16571503,4.657051742,6.832000000000001,,Yes,200370.8252,2.664080453,447.6279987,92.15823014,254.77442709999997,80.0,Healthcare,13.0,657.0111952000001,1.0,Public_or_other,,No,1.0,52.63142714
Whites,3.0,,51102.67667,45_and_up,9914.376307999999,Yes,624.1979274,No,Male,By_16:00,0.596727043,0.822413132,6231.0,384.43722139999994,77.93302629,5929.614713,590.2281194,95.92934514,19.607070699999998,3.7689999999999997,49951.69934,Maybe,266332.4014,3.201717378,516.0740271000001,80.80088452,99.02198907,100.0,Education,11.0,125.71367079999999,2.0,Foot_or_bicycle,Industry_or_other,No,3.0,453.1940509
Greys,3.0,820.6275186,98983.52932999999,30-45,75109.04521,No,762.4604211,Yes,Male,After_16:00,,0.6465493170000001,3964.0,519.0482995,95.67195685,4656.676055,81.33415342,58.38171532,22.78263153,8.036,59595.482260000004,Maybe,130941.1728,6.299570062999999,361.85794560000005,40.89174445,273.5425062,40.0,Foreign_Affairs,7.0,140.63988419999998,4.0,Car,Public_Sector,Yes,0.0,518.262314
Yellows,3.0,1152.295714,198792.3342,45_and_up,147925.8111,No,807.3095452,No,Male,By_16:00,0.595331798,0.49196930899999997,4492.0,647.5947496,18.14607703,6470.744656,337.1078495,71.11375351,25.44788301,9.508,68551.08481,Yes,267863.7118,5.348667235,517.5555156,95.90121382,384.09857139999997,70.0,Social,9.0,214.4341201,1.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,345.43743789999996
Khakis,8.0,156.0876807,17983.01772,Below_30,2769.0696780000003,No,598.1368155,Yes,Female,After_16:00,0.066075842,0.193150901,9012.0,394.68603989999997,86.18503495,4245.702068,142.4572302,61.02816574,19.86670682,0.988,47035.023839999994,No,119462.1699,1.252566839,345.6329988,76.38933370000001,52.02922689,90.0,Environment,8.0,204.589994,7.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,416.71215930000005
Turquoises,10.0,377.4209463,52665.58595,30-45,15963.203730000001,No,621.6980352999999,Yes,Male,After_16:00,0.147517999,0.29963446899999996,6438.0,405.92731299999997,70.26195822,4998.075857,925.4629589,20.40273962,20.1476379,3.562,49457.818230000004,No,175244.4819,0.015482279,418.6221231,84.30521272,125.8069821,70.0,Social,11.0,143.2224729,3.0,Motorcycle_or_truck,Industry_or_other,No,0.0,429.0024827
Turquoises,8.0,594.1990433,87826.21585,30-45,39438.34446,No,703.4144337,Yes,Male,By_16:00,0.223487911,0.10081908699999999,4597.0,439.6402119,90.77463979,5313.462042,736.6866653,13.92415354,20.9675991,5.403,54825.56134,Yes,196619.6663,1.140222761,443.41816179999995,12.81907561,198.06634780000002,90.0,Environment,12.0,86.9635868,0.0,,Services_or_Retail,No,1.0,526.7928536000001
Reds,9.0,226.3526358,42799.44707,Below_30,5778.285961,No,859.5116212000001,No,Male,By_16:00,0.159751199,0.47450515,9643.0,519.4386717,38.34380656,6711.368886,23.95276516,30.32003152,22.79119724,2.3569999999999998,66621.75681,Maybe,321771.603,5.130328792,567.2491542,87.48611894,75.4508786,50.0,Other,7.0,184.3885689,4.0,Public_or_other,Student_or_Unemployed,Yes,1.0,670.5838024
Yellows,5.0,61.81079184,11543.14313,45_and_up,455.1118182,Yes,542.2845162000001,No,Male,After_16:00,0.328508205,0.893009933,9607.0,315.24775639999996,69.41814772,6232.984715,188.3119598,16.85665532,17.75521772,4.393,44060.73775,Maybe,313878.8526,5.340296922,560.2489202,11.63499188,20.60359728,90.0,Environment,12.0,216.2739114,5.0,Public_or_other,Services_or_Retail,Yes,0.0,405.073287
